GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount
36081025100,6119,67988.88889,1742,4377,3098,1298,1357,1863,1233,368,402,396,40.6,1920,31057,606,2317,0,8,107,73,408,1550,1177,366,179,414,NYC,Queens,1,0.025330936,0.002279784,153,2,488,155
36081011400,1150,23000,147,1003,614,403,227,339,150,31,64,83,29.9,245,30299,95,221,0,7,28,5,128,343,19,24,56,216,NYC,Queens,1,0.025217391,0.00126087,29,0,155,29
36081100802,9319,23894.87179,2273,7046,4857,3169,2111,2005,1570,464,883,199,29,1169,28953,2063,1460,0,0,172,75,408,2154,726,482,413,1576,NYC,Queens,1,0.025217298,0.009834746,234,1,737,235
36081118500,2312,38533.33,301,2011,1098,417,611,740,438,106,221,72,38.7,908,22403,507,443,0,0,101,54,141,658,303,55,85,454,NYC,Queens,1,0.025086505,0.00150519,58,0,216,58
36081109300,3275,7616.279,1880,1395,1697,696,444,930,880,325,209,167,46.7,167,47406,931,410,0,8,32,50,95,792,681,435,147,87,NYC,Queens,1,0.025038168,0.010766412,82,0,355,82
36081069500,1962,24525,895,1067,992,259,360,669,497,177,264,136,45.1,296,38409,477,558,0,14,46,21,83,491,450,195,48,194,NYC,Queens,1,0.024974516,0.001997961,49,0,243,49
36081039900,4173,59614.29,72,4101,1996,1260,1297,1141,382,93,375,33,29.1,1751,22903,268,1496,0,46,57,0,147,1077,186,59,142,493,NYC,Queens,1,0.024922118,0.001744548,102,2,374,104
36081040500,3291,65820,6,3285,1439,843,1086,1040,236,86,217,71,29.3,1678,20343,90,1255,0,25,123,48,225,733,20,44,118,863,NYC,Queens,1,0.024916439,0.001245822,81,1,296,82
36081116700,1848,30800,171,1677,909,283,553,602,336,74,153,84,40,878,21463,370,225,0,25,127,10,143,449,160,69,81,623,NYC,Queens,1,0.024891775,0.001493506,45,1,208,46
36081005300,4666,58325,2069,2597,2305,590,1591,1625,691,169,485,218,35.8,1004,41191,276,2534,0,10,96,96,122,728,1380,897,226,425,NYC,Queens,1,0.024860694,0.001988856,114,2,307,116
36081075702,4033,28807.14,2205,1828,2247,596,642,1235,942,618,418,419,45.8,487,70369,291,1481,0,0,145,64,48,826,941,887,79,440,NYC,Queens,1,0.024795438,0.003471362,100,0,381,100
36081066400,9637,9091.509,427,9210,5281,2295,2736,2627,1666,313,1290,393,33.1,1313,36104,2885,1662,0,0,0,167,210,2751,1017,589,461,748,NYC,Queens,1,0.024696482,0.026178272,236,2,764,238
36081044000,3766,25106.67,7,3759,1762,968,985,1085,603,125,259,150,33.7,797,31313,694,739,0,0,18,10,355,1136,360,103,400,548,NYC,Queens,1,0.024694636,0.003704195,93,0,344,93
36081030903,6379,45564.29,802,5577,3130,1398,1607,1812,1109,453,372,283,38.4,1193,30353,967,1634,0,0,163,30,361,1593,699,499,300,1026,NYC,Queens,1,0.024612008,0.003445681,157,0,561,157
36081025302,3053,76325,673,2380,1369,434,869,1300,352,98,220,71,37.7,1188,29454,350,1537,0,36,64,7,200,783,407,170,13,493,NYC,Queens,1,0.024566001,0.00098264,75,0,250,75
36081004700,3910,55857.14,997,2913,2105,840,1135,1114,669,152,267,194,33.8,545,31790,236,1304,0,0,127,28,237,1002,591,169,257,932,NYC,Queens,1,0.02455243,0.00171867,96,0,293,96
36081016300,3788,47350,566,3222,2257,538,1042,680,1068,460,551,287,45.7,574,25608,188,808,0,0,125,69,539,993,239,88,147,1056,NYC,Queens,1,0.024551214,0.001964097,93,0,277,93
