"GEOID","pop_dens","minority_dens","female_dens","genz_dens","millenial_dens","genx_dens","boomer_dens","retiree_dens","divsep_dens","widowed_dens","median_age","foreign_dens","median_earnings","cars_dens","trans_dens","mbike_dens","bike_dens","walk_dens","wfm_dens","lowedu_dens","hsged_dens","bs_dens","grad_dens","unemp_dens","pov_dens","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081023000",37900,25933.3333333333,18150,7933.33333333333,8966.66666666667,11150,7433.33333333333,2416.66666666667,1700,1816.66666666667,41.1,7100,30553,8133.33333333333,7633.33333333333,0,83.3333333333333,533.333333333333,66.6666666666667,350,6166.66666666667,9016.66666666667,1950,1783.33333333333,4000,"NYC",143,26,8,0,26,0
"36085011202",7372.72727272727,2131.16883116883,3762.33766233766,1583.11688311688,1818.18181818182,1972.72727272727,1267.53246753247,731.168831168831,436.363636363636,302.597402597403,36.8,1037.66233766234,42484,1931.16883116883,787.012987012987,53.2467532467532,0,146.753246753247,62.3376623376623,159.74025974026,2763.63636363636,881.818181818182,546.753246753247,168.831168831169,1133.76623376623,"NYC",837,190,29,0,189,1
"36081028500",85866.6666666667,56616.6666666667,43700,19200,15833.3333333333,30566.6666666667,15433.3333333333,4833.33333333333,11733.3333333333,4433.33333333333,42.3,18733.3333333333,45951,5500,26716.6666666667,0,983.333333333333,2983.33333333333,2133.33333333333,2933.33333333333,16716.6666666667,19483.3333333333,10183.3333333333,4350,18883.3333333333,"NYC",376,98,20,0,98,0
"36047007000",41166.6666666667,19216.6666666667,21166.6666666667,9000,7900,10066.6666666667,9933.33333333333,4266.66666666667,3800,1750,40.8,5266.66666666667,36295,4583.33333333333,10416.6666666667,0,0,1116.66666666667,233.333333333333,1166.66666666667,8333.33333333333,7866.66666666667,3400,650,6850,"NYC",352,79,12,0,79,0
"36061025900",138900,115566.666666667,63333.3333333333,31533.3333333333,36800,47700,20100,2766.66666666667,16133.3333333333,5633.33333333333,35.2,15900,40657,12900,48200,0,2233.33333333333,7400,433.333333333333,6400,23933.3333333333,30300,19100,7766.66666666667,30900,"NYC",366,86,29,0,86,0
"36081062900",41885.7142857143,14028.5714285714,20800,10657.1428571429,9857.14285714286,10000,9485.71428571428,1885.71428571429,3071.42857142857,1357.14285714286,35.2,4328.57142857143,31924,6742.85714285714,8657.14285714286,0,0,2985.71428571429,328.571428571429,828.571428571428,13442.8571428571,4857.14285714286,2571.42857142857,1257.14285714286,3471.42857142857,"NYC",213,30,7,0,30,0
"36047019800",37540,17960,21840,7220,8100,9180,8700,4340,2440,3100,44.2,5660,41000,6140,7680,0,300,440,140,2040,11040,3300,3360,500,6460,"NYC",123,26,6,0,26,0
"36047052600",64085.7142857143,38714.2857142857,36214.2857142857,14971.4285714286,19314.2857142857,16600,11128.5714285714,2071.42857142857,6414.28571428571,2628.57142857143,33.9,10542.8571428571,32531,2885.71428571429,24757.1428571429,0,671.428571428571,2300,1571.42857142857,2185.71428571429,10571.4285714286,13042.8571428571,9442.85714285714,2728.57142857143,9057.14285714286,"NYC",168,52,13,0,52,0
"36047029800",44844.4444444444,26577.7777777778,23077.7777777778,11133.3333333333,8144.44444444444,14944.4444444444,9077.77777777778,1544.44444444444,3211.11111111111,1344.44444444444,38.1,9344.44444444445,27409,6200,11955.5555555556,0,0,1455.55555555556,1277.77777777778,3266.66666666667,11366.6666666667,5644.44444444444,2633.33333333333,1644.44444444444,7177.77777777778,"NYC",256,62,23,0,62,0
"36005024502",99050,98625,56875,27125,27375,27025,16075,1450,9225,3825,31.3,29550,20885,3250,22475,0,0,2225,3875,4025,24050,8825,1250,4975,47475,"NYC",152,39,18,0,39,0
"36047017900",71233.3333333333,56633.3333333333,40166.6666666667,12683.3333333333,19416.6666666667,14300,18250,6583.33333333333,7750,3450,39.8,4883.33333333333,42277,3366.66666666667,21633.3333333333,0,0,2016.66666666667,1683.33333333333,3466.66666666667,16416.6666666667,13016.6666666667,8766.66666666667,2433.33333333333,12450,"NYC",288,81,11,0,81,0
"36005024501",136100,135500,75975,37675,43475,30550,21150,3250,14225,3950,28.8,34525,17461,8350,35575,0,625,2625,1200,5500,35925,4600,2050,9875,68350,"NYC",116,31,11,0,31,0
"36081040000",16237.5,16237.5,8600,3425,3137.5,5137.5,3375,1162.5,1462.5,1675,42.7,1812.5,38625,5275,2700,0,0,325,450,275,5512.5,1737.5,1575,500,1275,"NYC",178,76,5,0,76,0
"36061014802",137680,32820,77740,22540,44260,32160,26120,12600,8000,5820,36.1,15140,70545,4980,55000,0,340,10480,8540,540,11160,48000,30120,2880,6940,"NYC",595,94,42,0,94,0
"36047016700",78314.2857142857,12528.5714285714,39500,20642.8571428571,15542.8571428571,25828.5714285714,15128.5714285714,1171.42857142857,3828.57142857143,285.714285714286,36.6,5242.85714285714,70246,3500,30971.4285714286,0,842.857142857143,3185.71428571429,4514.28571428571,542.857142857143,4857.14285714286,22342.8571428571,19342.8571428571,1500,3342.85714285714,"NYC",190,36,5,0,36,0
