GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Type,Collisions,CasualtiesPerPop,CasualtiesCount,PedeCasualtiesCount,PedeCasualtiesPerPop,CyclCasualtiesCount,CyclCasualtiesPerPop,MotrCasualtiesCount,MotrCasualtiesPerPop
11001002502,6042,26269.57,0.180734856,0.819265144,0.50877193,0.183548494,0.321085733,0.278550149,0.182720953,0.034094671,0.09285005,0.047997352,34.8,0.206223105,41362,0.209864283,0.297914598,0.005958292,0.038397881,0.030122476,0.003806687,0.07265806,0.193313472,0.119662363,0.188513737,0.033598146,0.121151936,DC,District of Columbia,Percentage,793,0.0367428,222,29,0.004799735,28,0.004634227,165,0.027308838
11001004300,3918,43533.33,0.549004594,0.450995406,0.481368045,0.099030117,0.420112302,0.287136294,0.16360388,0.030117407,0.09367024,0.011485452,34.2,0.117151608,62197,0.21337417,0.257529352,0,0.082695253,0.147779479,0.027309852,0.025523226,0.096477795,0.313935681,0.229198571,0.0237366,0.102092905,DC,District of Columbia,Percentage,818,0.044920878,176,13,0.003318019,18,0.004594181,145,0.037008678
11001005900,2760,11040,0.544202899,0.455797101,0.492391304,0.023913043,0.665942029,0.196014493,0.105072464,0.009057971,0.080434783,0.004710145,28.1,0.099637681,51908,0.126086957,0.248913043,0,0.036956522,0.268115942,0.026086957,0.017391304,0.071014493,0.269927536,0.157971014,0.036956522,0.152898551,DC,District of Columbia,Percentage,1303,0.118478261,327,26,0.00942029,27,0.009782609,274,0.099275362
11001001804,5682,24704.35,0.036078845,0.963921155,0.525343189,0.234424498,0.260823654,0.298662443,0.151531151,0.054558254,0.083421331,0.054206265,35.4,0.239000352,31670,0.274199226,0.178282295,0.002991904,0,0,0.017071454,0.027631116,0.253607885,0.112108413,0.065997888,0.037134812,0.201689546,DC,District of Columbia,Percentage,660,0.036430834,207,29,0.005103837,5,0.000879972,173,0.030447026
11001007503,2648,13936.84,0.038897281,0.961102719,0.517371601,0.350830816,0.295694864,0.180513595,0.14010574,0.032854985,0.099697885,0.032099698,26,0.004154079,26775,0.145770393,0.098564955,0,0.007175227,0.003398792,0.027945619,0.016616314,0.299471299,0.055891239,0.03776435,0.062311178,0.456193353,DC,District of Columbia,Percentage,533,0.043806647,116,14,0.005287009,3,0.001132931,99,0.037386707
11001009811,5091,28283.33,0,1,0.571007661,0.281280691,0.303673149,0.247888431,0.142408171,0.024749558,0.103319584,0.044588489,28.9,0.011392654,26000,0.128854842,0.152622275,0,0,0.019838931,0.006482027,0.016892555,0.399332155,0.037517187,0,0.135336869,0.353565115,DC,District of Columbia,Percentage,533,0.032017285,163,13,0.002553526,3,0.000589275,147,0.028874484
11001009604,2123,11173.68,0.021667452,0.978332548,0.576071597,0.150259067,0.213377296,0.212906265,0.357512953,0.065944418,0.195949129,0.089967028,49.4,0.016486105,36167,0.287800283,0.144606689,0,0,0.00612341,0.021667452,0.02402261,0.476683938,0.104097975,0.040037683,0.042863872,0.116815827,DC,District of Columbia,Percentage,599,0.092322186,196,4,0.001884126,2,0.000942063,190,0.089495996
11001001702,3039,8441.667,0.373807173,0.626192827,0.523527476,0.146100691,0.241855874,0.322474498,0.254689042,0.034879895,0.101020072,0.033234617,42.3,0.08621257,59234,0.235603817,0.294175716,0,0.016452781,0.011846002,0.08621257,0.017769003,0.172096084,0.203027312,0.20763409,0.028627838,0.050016453,DC,District of Columbia,Percentage,374,0.035538006,108,7,0.002303389,3,0.000987167,98,0.03224745
11001007804,3547,10748.48,0.002255427,0.997744573,0.560191711,0.257118692,0.228361996,0.201578799,0.218212574,0.094727939,0.109670144,0.084296589,37.3,0.020580772,35993,0.13842684,0.164082323,0,0.009867494,0.04905554,0,0.031012123,0.374118974,0.057231463,0.015224133,0.062306174,0.286157316,DC,District of Columbia,Percentage,459,0.041443473,147,7,0.001973499,5,0.001409642,135,0.038060333
11001002101,5660,24608.7,0.063780919,0.936219081,0.516077739,0.214487633,0.241696113,0.28639576,0.199646643,0.057773852,0.102473498,0.076325088,38.3,0.226855124,35245,0.257243816,0.239045936,0,0.004946996,0.008480565,0.018727915,0.034452297,0.31360424,0.120671378,0.057243816,0.04664311,0.085159011,DC,District of Columbia,Percentage,591,0.028091873,159,21,0.003710247,15,0.002650177,123,0.021731449
