"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_trucks","road_iri","road_bumps","road_aadt","road_width","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081062600",89,528572,201862,0,1,6,0,3,0,11,1857,850,29,8.05074118,0.41038392,0.02085968,0.33232724,1.83618292,3.90841827,1.6239321,46.89599933,12.75028426,4969.984271,6.0225262,2.02290488,61.42534238,2.52603454,0.15642061,25.21380772,2572,0.17,"NYC",297,86,11,0,86,0
"36081069701",27,912850,562435,0,7,0,1,4,0,7,2604,1020,3,0.97264654,0.25609043,0.00143827,0.21227296,0.71858269,0.92169818,0,13.11526602,5.87696731,1328.095002,0.53125128,0.38167727,21.15370845,3.92490011,NA,24.32666886,3908,0.05,"NYC",138,18,7,0,18,0
"36081031700",34,1639930,971435,1,11,1,3,3,0,28,4292,1757,50,13.05895968,0.52692979,4.3e-05,0.2786189,1.2931725,4.00000504,0.25258066,65.01101844,14.82248713,19014.15862,0.86678998,7.26355021,76.40727611,10.70260699,0.05167071,25.55726638,6017,0.27,"NYC",1283,352,23,0,352,0
"36061017900",60,5797685,2811744,1,25,5,7,19,4,61,6995,2592,50,8.90970582,0.23220165,0.00054635,0.17215531,1.4776153,6.00000182,0.53507935,45.46305873,5.59862695,19501.92672,1.9912851,1.00209385,25.97098592,5.40997535,0.01435733,28.19985334,9488,0.08,"NYC",567,103,38,2,101,2
"36047109800",171,312067,229827,0,5,1,3,4,0,40,1300,543,25,9.8697841,0.67631862,0.00053698,0.38774485,2.09087858,4.98923574,0.6474825,57.55576699,12.44858393,8054.11039,0.36731969,4.17757355,60.88043823,8.32520599,0.24221525,21.65201039,2113,0.33,"NYC",1139,339,24,1,336,3
"36047000900",153,2943942,1428368,1,25,28,20,90,1,80,3324,1228,25,16.05051473,0.23528257,0.00132551,0.1683077,1.77402191,5.91556127,2.15583705,64.74131101,5.02644375,9577.208282,NA,1.58222675,51.38525551,7.82025197,0.36929217,26.69998314,3984,0.06,"NYC",872,169,51,0,169,0
"36061008000",147,5132539,2490252,2,78,16,12,110,18,148,4764,1760,25,11.68757604,0.34591795,0.00685458,0.2127178,1.20735051,3.99999916,NA,84.70942506,13.37376444,2486.042108,3.53303864,2.0953687,37.80593411,3.43679535,0.08247062,26.64885176,5897,0.07,"NYC",1959,283,91,0,283,0
"36061013500",178,3197471,1349252,1,24,9,4,6,3,84,7558,2874,35,21.65943652,0.40333356,0.00999998,0.19327478,1.750059,4.00000041,0.01360441,68.00688298,6.23842032,15260.5942,0.87275035,3.06193192,71.6914672,6.13953586,0.52452033,22.29740145,7411,0.16,"NYC",1741,294,85,0,292,2
"36047058800",43,787761,552972,0,10,0,2,22,0,25,2324,934,9,5.70922967,0.21557908,0.17787698,0.19855514,0.45049369,0.71150792,NA,NA,NA,858.3480175,NA,0.39318692,22.52468435,1.12623422,0.05168825,NA,NA,NA,"NYC",215,40,11,0,40,0
"36005023704",82,366170,428249,1,7,4,2,2,0,20,2016,545,13,3.09028971,0.23174237,0.00850934,0.15502662,0.7019532,1.00824855,NA,5.29574337,0.88535648,389.6033124,NA,0.53374441,31.04750975,2.3360335,0.00854854,24.11516525,3827,0.03,"NYC",265,100,31,0,100,0
