"GEOID","City","STATE_x","COUNTY_x"
"36047006700","NYC","NY","Kings"
"36047006800","NYC","NY","Kings"
"36047006900","NYC","NY","Kings"
"36047007000","NYC","NY","Kings"
"36047007100","NYC","NY","Kings"
"36047007200","NYC","NY","Kings"
"36047007400","NYC","NY","Kings"
"36047007500","NYC","NY","Kings"
"36047007600","NYC","NY","Kings"
"36047007700","NYC","NY","Kings"
"36047007800","NYC","NY","Kings"
"36047008000","NYC","NY","Kings"
"36047008200","NYC","NY","Kings"
"36047008400","NYC","NY","Kings"
"36047008500","NYC","NY","Kings"
"36047008600","NYC","NY","Kings"
"36047008800","NYC","NY","Kings"
"36047009000","NYC","NY","Kings"
"36047009200","NYC","NY","Kings"
"36047009400","NYC","NY","Kings"
"36047009600","NYC","NY","Kings"
"36047009800","NYC","NY","Kings"
"36047010000","NYC","NY","Kings"
"36047010100","NYC","NY","Kings"
"36047010200","NYC","NY","Kings"
"36047010400","NYC","NY","Kings"
"36047010600","NYC","NY","Kings"
"36047010800","NYC","NY","Kings"
"36047011000","NYC","NY","Kings"
"36047011200","NYC","NY","Kings"
"36047011400","NYC","NY","Kings"
"36047011600","NYC","NY","Kings"
"36047011700","NYC","NY","Kings"
"36047011800","NYC","NY","Kings"
"36047011900","NYC","NY","Kings"
"36047012000","NYC","NY","Kings"
"36047012100","NYC","NY","Kings"
"36047012200","NYC","NY","Kings"
"36047012600","NYC","NY","Kings"
"36047012700","NYC","NY","Kings"
"36047012801","NYC","NY","Kings"
"36047012901","NYC","NY","Kings"
"36047012902","NYC","NY","Kings"
"36047013000","NYC","NY","Kings"
"36047013100","NYC","NY","Kings"
"36047013200","NYC","NY","Kings"
"36047013300","NYC","NY","Kings"
"36047013400","NYC","NY","Kings"
"36047013500","NYC","NY","Kings"
"36047013600","NYC","NY","Kings"
"36047013700","NYC","NY","Kings"
"36047013800","NYC","NY","Kings"
"36047013900","NYC","NY","Kings"
"36047014000","NYC","NY","Kings"
"36047014100","NYC","NY","Kings"
"36047014200","NYC","NY","Kings"
"36047014300","NYC","NY","Kings"
"36047014500","NYC","NY","Kings"
"36047014700","NYC","NY","Kings"
"36047014800","NYC","NY","Kings"
