,GEOID,City,STATE_x,2018 Total Crime Index,Alcoholic Beverages,AnalysisArea_x,AnalysisArea_y,Beer/Wine/Liquor Stores:Bus,COUNTY_x,Eating & Drinking Businesses (SIC),Education/Library Businesses (SIC),Food Stores - Businesses (SIC),Health Services - Businesses (SIC),Hotel/Lodging Businesses (SIC),MAX_POSTED_SPEED_LIMIT,MAX_SECTION_LENGTH,MAX_TOTAL_LANES,MEAN_ACTUAL_PCT_TRUCKS,MEAN_IRI,MEAN_I_NO_OF_BUMPS,MEAN_LAST_ACTUAL_AADT,MEAN_LAST_ACTUAL_CNTYR,MEAN_MEDIAN_WIDTH,MEAN_PCI,MEAN_POSTED_SPEED_LIMIT,MEAN_SECTION_LENGTH,MEAN_TOTAL_LANES,MEAN_TOTAL_PAVEMENT_WIDTH,MEAN_VC,MEAN_q_score,MIN_SECTION_LENGTH,POPULATION_x,Point_Count,Public/Other Transportation,SQMI_x,SUM_Length_Miles,Total Retail:Bus,POPULATION_x,Went to fast food/drive-in restaurant 9+ times/mo,Went to fast food/drive-in restaurant in last 6 mo
37,36081048900.0,NYC,NY,48.0,241904.0,0.35485890000000003,0.13701179,0.0,Queens,3.0,8.0,0.0,2.0,2.0,25.0,0.40857909,4.77559971,0.38007221,28.394807399999998,3.69174673,4390.493792,341.546542,1.61339799,64.66880356,9.42297437,0.27139997,2.18440142,9.70665936,0.01398228,22.14318142,8.43e-05,1409.0,189.0,169805.0,0.14,2.14715687,23.0,1409.0,399.0,992.0
38,36047073600.0,NYC,NY,58.0,577296.0,0.17811516,0.06877065,1.0,Kings,6.0,0.0,4.0,8.0,0.0,25.0,0.29184333,3.89124444,0.85835934,88.40447002,13.50024496,5633.662474000001,736.2111145,1.56640693,48.3000523,12.79937513,0.15477591,2.05515613,13.32334051,0.12504399,25.87948894,0.00073573,3334.0,101.0,425159.0,0.07,1.20825435,20.0,3334.0,943.0,2255.0
39,36005050400.0,NYC,NY,211.0,4941.0,6.74846175,2.60559565,0.0,Bronx,0.0,0.0,0.0,0.0,0.0,55.0,0.94317046,6.0000081,,53.25935311,1.52931592,20095.34266,733.1574482999999,0.72075241,76.79555864,24.39477761,0.37596859,1.88119901,7.48346497,0.16695611,23.56756763,0.00054436,39.0,284.0,5780.0,2.61,10.20258897,1.0,39.0,7.0,25.0
40,36047001800.0,NYC,NY,42.0,0.0,2.16534616,0.83604483,2.0,Kings,16.0,0.0,28.0,13.0,0.0,50.0,0.9581031999999999,2.91010892,4.07399652,183.98539780000002,33.39298316,47687.0257,1366.0854550000001,1.39992989,53.28687709,21.94296744,0.38793765,1.07597832,16.56384933,0.65870564,18.52127673,0.00040772,2312.0,489.0,0.0,0.84,6.96146772,204.0,2312.0,0.0,0.0
41,36061001001.0,NYC,NY,22.0,719079.0,0.08269834,0.03193001,0.0,New York,1.0,2.0,0.0,5.0,0.0,25.0,0.21890063,2.00000084,0.0,27.65839949,7.81261901,15809.81121,331.05546089999996,0.24460217,33.32982282,11.29656531,0.15599068,1.2198866000000002,3.1936223,0.19046932,24.47954341,0.00034260000000000003,1355.0,27.0,249493.0,0.03,0.49093169,3.0,1355.0,400.0,1058.0
42,36005043500.0,NYC,NY,23.0,4734.0,6.76603245,2.61237974,0.0,Bronx,1.0,1.0,1.0,0.0,0.0,55.0,1.09073395,6.00000188,0.9350668,103.9170913,11.73232115,33702.53819,1423.299683,3.34783125,71.24725216,25.30375618,0.36205801,2.20333209,16.55836867,0.30799489,24.25850337,4.9e-05,39.0,1039.0,3487.0,2.61,18.84415677,0.0,39.0,11.0,26.0
43,36047118800.0,NYC,NY,77.0,520535.0,0.17451624,0.0673811,2.0,Kings,12.0,0.0,13.0,6.0,0.0,23.0,0.38237727,1.92468229,,,,268.0848653,82.40884501,3.11791364,60.61389042,9.47733467,0.23947285,1.11028294,3.14696597,0.01844057,25.47495409,0.02678673,4543.0,100.0,314230.0,0.07,1.123418,68.0,4543.0,1139.0,2915.0
44,36061008400.0,NYC,NY,350.0,1445303.0,0.17232411,0.06653471,1.0,New York,107.0,24.0,13.0,27.0,22.0,21.0,0.20382839,1.48357208,,11.69246861,9.74091492,1742.3636850000003,192.306198,,43.3348511,11.063647099999999,0.18691536,0.73236591,3.80548397,0.00373233,26.53204576,0.00068213,1754.0,99.0,527481.0,0.07,1.43120121,410.0,1754.0,689.0,1439.0
45,36081044400.0,NYC,NY,150.0,414103.0,0.91127981,0.35184709999999997,0.0,Queens,14.0,3.0,2.0,7.0,0.0,25.0,0.67421362,1.99999974,0.78694919,65.69535588,42.3269201,3330.496219,411.00352389999995,0.36968095,53.07921168,7.44465923,0.34583161,1.30923749,4.08030455,0.13400142,21.96501766,0.00030466,3523.0,345.0,259144.0,0.35,3.57101234,64.0,3523.0,891.0,2269.0
46,36005022200.0,NYC,NY,76.0,517799.0,0.21926386,0.08465825,2.0,Bronx,19.0,9.0,6.0,15.0,0.0,25.0,0.36632135,3.92936304,0.0,0.66522628,0.07512159,109.19767320000001,57.37136341,0.01377651,69.61496324,7.89287711,0.19664833,1.67365158,5.85025794,0.00858816,24.54708185,0.00043117,3522.0,124.0,287786.0,0.08,1.21768856,62.0,3522.0,895.0,2324.0
