"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037273100",120,28,28,0,4,4,0,15,15,0,9,9,0
"LA","6037273200",275,111,110,1,40,39,1,43,43,0,28,28,0
"LA","6037273300",150,39,39,0,11,11,0,23,23,0,5,5,0
"LA","6037273402",263,96,95,1,32,31,1,43,43,0,21,21,0
"LA","6037273502",247,94,94,0,36,36,0,43,43,0,15,15,0
"LA","6037273600",240,76,73,3,13,11,2,36,36,0,27,26,1
"LA","6037273700",124,32,32,0,5,5,0,21,21,0,6,6,0
"LA","6037273800",132,36,36,0,10,10,0,10,10,0,16,16,0
"LA","6037273902",241,92,91,1,31,30,1,41,41,0,20,20,0
"LA","6037274100",304,79,79,0,18,18,0,30,30,0,31,31,0
"LA","6037274202",66,10,10,0,2,2,0,7,7,0,1,1,0
"LA","6037275101",39,8,8,0,3,3,0,4,4,0,1,1,0
"LA","6037275102",68,9,6,3,5,2,3,1,1,0,3,3,0
"LA","6037275200",88,15,15,0,8,8,0,6,6,0,1,1,0
"LA","6037275302",226,50,50,0,15,15,0,20,20,0,15,15,0
"LA","6037275311",147,25,25,0,11,11,0,9,9,0,5,5,0
"LA","6037275400",68,14,14,0,9,9,0,2,2,0,3,3,0
"LA","6037275500",58,19,18,1,14,13,1,4,4,0,1,1,0
"LA","6037275602",173,34,33,1,12,11,1,10,10,0,12,12,0
"LA","6037275603",117,17,17,0,7,7,0,5,5,0,5,5,0
"LA","6037276000",233,15,15,0,9,9,0,3,3,0,3,3,0
"LA","6037276100",367,45,45,0,22,22,0,7,7,0,16,16,0
"LA","6037276400",50,8,8,0,5,5,0,2,2,0,1,1,0
"LA","6037276500",42,7,7,0,1,1,0,5,5,0,1,1,0
"LA","6037276601",270,56,51,5,18,18,0,10,9,1,28,24,4
"LA","6037276603",19,2,2,0,1,1,0,0,0,0,1,1,0
"LA","6037276604",36,7,7,0,3,3,0,2,2,0,2,2,0
"LA","6037277000",182,19,19,0,7,7,0,6,6,0,6,6,0
"LA","6037277100",80,10,9,1,1,1,0,7,6,1,2,2,0
"LA","6037277200",107,18,18,0,6,6,0,7,7,0,5,5,0
"LA","6037277400",68,5,5,0,2,2,0,1,1,0,2,2,0
"LA","6037278001",179,36,36,0,19,19,0,10,10,0,7,7,0
"LA","6037278102",129,24,23,1,9,8,1,7,7,0,8,8,0
"LA","6037291110",148,25,22,3,13,10,3,3,3,0,9,9,0
"LA","6037291120",141,12,12,0,5,5,0,6,6,0,1,1,0
"LA","6037291130",167,35,33,2,20,18,2,10,10,0,5,5,0
"LA","6037291210",182,29,28,1,15,14,1,7,7,0,7,7,0
"LA","6037291220",70,5,4,1,3,3,0,1,0,1,1,1,0
"LA","6037291300",81,9,9,0,3,3,0,3,3,0,3,3,0
"LA","6037292000",280,42,40,2,12,11,1,11,11,0,19,18,1
"LA","6037293201",206,21,19,2,8,8,0,7,7,0,6,4,2
"LA","6037293202",145,16,15,1,6,5,1,4,4,0,6,6,0
"LA","6037293301",79,16,16,0,4,4,0,2,2,0,10,10,0
"LA","6037293302",148,28,27,1,17,16,1,4,4,0,7,7,0
"LA","6037293304",77,13,13,0,7,7,0,4,4,0,2,2,0
"LA","6037293306",88,11,11,0,3,3,0,4,4,0,4,4,0
"LA","6037293307",179,32,32,0,7,7,0,12,12,0,13,13,0
"LA","6037294110",87,17,17,0,7,7,0,5,5,0,5,5,0
"LA","6037294120",95,10,10,0,6,6,0,1,1,0,3,3,0
"LA","6037294200",160,28,28,0,15,15,0,7,7,0,6,6,0
"LA","6037294301",128,12,12,0,5,5,0,4,4,0,3,3,0
"LA","6037294302",273,31,30,1,13,12,1,11,11,0,7,7,0
"LA","6037294410",123,32,32,0,18,18,0,8,8,0,6,6,0
"LA","6037294421",208,28,27,1,17,16,1,6,6,0,5,5,0
"LA","6037294510",109,21,18,3,10,7,3,3,3,0,8,8,0
"LA","6037294520",118,23,23,0,10,10,0,6,6,0,7,7,0
"LA","6037294610",84,17,17,0,8,8,0,5,5,0,4,4,0
"LA","6037294620",141,36,36,0,17,17,0,11,11,0,8,8,0
"LA","6037294701",260,38,36,2,17,17,0,11,11,0,10,8,2
"LA","6037294810",98,22,21,1,11,10,1,7,7,0,4,4,0
"LA","6037294820",209,46,43,3,30,28,2,12,11,1,4,4,0
"LA","6037294830",82,14,13,1,9,8,1,4,4,0,1,1,0
"LA","6037294900",99,17,16,1,12,11,1,3,3,0,2,2,0
"LA","6037295103",125,20,20,0,8,8,0,2,2,0,10,10,0
"LA","6037296210",69,10,9,1,6,6,0,2,2,0,2,1,1
