"GEOID","pop_dens","perc_minority","perc_female","perc_genz","perc_millenial","perc_genx","perc_boomer","perc_retiree","perc_divsep","perc_widowed","median_age","perc_foreign","median_earnings","perc_cars","perc_trans","perc_mbike","perc_bike","perc_walk","perc_wfm","perc_lowedu","perc_hsged","perc_bs","perc_grad","perc_unemp","perc_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36047050804",153600,0.846354166666667,0.520345052083333,0.195963541666667,0.353678385416667,0.248697916666667,0.174153645833333,0.0275065104166667,0.0807291666666667,0.0271809895833333,31.8,0.178548177083333,27348,0.0616861979166667,0.396321614583333,0.00537109375,0.00439453125,0.0343424479166667,0.0221354166666667,0.0393880208333333,0.2763671875,0.109700520833333,0.0615234375,0.04638671875,0.111328125,"NYC",305,92,29,1,91,1
"36081094202",16456.6666666667,0.815069880494227,0.501114036864493,0.303018027141989,0.279116872594693,0.288231719667814,0.111403686449261,0.0182296941462427,0.112011342920802,0.0147863074741746,29.1,0.0642090338262103,37516,0.17541016811829,0.189183714806563,0,0,0.0121531294308284,0.0103301600162042,0.0239011545472959,0.267166295321045,0.120518533522382,0.0488150698804942,0.0573222604820741,0.26068462629127,"NYC",465,126,14,0,126,0
"36081059000",23316.6666666667,0.989992852037169,0.594710507505361,0.18084345961401,0.225875625446748,0.235882773409578,0.246604717655468,0.110793423874196,0.132952108649035,0.0807719799857041,44.5,0.097927090779128,36343,0.221586847748392,0.190850607576841,0,0,0,0.00857755539671194,0.0228734810578985,0.30879199428163,0.091493924231594,0.0943531093638313,0.0250178699070765,0.109363831308077,"NYC",74,29,2,0,29,0
"36005031900",8175,0.345565749235474,0.68960244648318,0,0.879204892966361,0.0305810397553517,0.0214067278287462,0.0688073394495413,0.00917431192660551,0.00764525993883792,20.2,0.00611620795107034,3244,0.0672782874617737,0.0290519877675841,0,0,0.175840978593272,0.0474006116207951,0,0.0229357798165138,0.00458715596330275,0.0764525993883792,0.0749235474006116,0.0779816513761468,"NYC",48,8,1,0,8,0
"36081077903",30900,0.461488673139159,0.546278317152104,0.185436893203883,0.211974110032362,0.271844660194175,0.283818770226537,0.0469255663430421,0.0805825242718447,0.0446601941747573,43.5,0.13462783171521,37107,0.169902912621359,0.298381877022654,0,0,0.0284789644012945,0.00841423948220065,0.00938511326860841,0.267313915857605,0.203236245954693,0.0792880258899676,0.0394822006472492,0.112621359223301,"NYC",87,16,2,0,16,0
"36005004100",88685.7142857143,0.994201030927835,0.489851804123711,0.319587628865979,0.276900773195876,0.229059278350515,0.131282216494845,0.0431701030927835,0.115335051546392,0.0228737113402062,24.2,0.0935889175257732,16348,0.015625,0.193298969072165,0,0.00273840206185567,0.0364046391752577,0.00257731958762887,0.0399484536082474,0.172519329896907,0.0227126288659794,0.00451030927835052,0.0596005154639175,0.510953608247423,"NYC",205,80,24,0,80,0
"36047065600",30550,0.287506819421713,0.462084015275505,0.220949263502455,0.220403709765412,0.276050190943808,0.2253136933988,0.0572831423895254,0.0703764320785597,0.0338243316966721,38.4,0.0403709765411893,50991,0.25531914893617,0.14620840152755,0,0.00272776868521549,0.0103655210038189,0.0114566284779051,0.0392798690671031,0.277686852154937,0.130387343153301,0.12329514457174,0.0240043644298963,0.0676486633933442,"NYC",105,28,4,0,28,0
"36081155101",10700,0.0327102803738318,0.663551401869159,0,0.00363447559709242,0.063343717549325,0.224818276220145,0.708203530633437,0.120456905503634,0.385773624091381,80.5,0,40144,0.0841121495327103,0.0539979231568017,0,0,0.00363447559709242,0.0114226375908619,0.00519210799584631,0.420560747663551,0.257528556593977,0.132398753894081,0,0.0212876427829699,"NYC",94,14,2,0,14,0
"36081056600",21500,0.93421926910299,0.506976744186047,0.201993355481728,0.257142857142857,0.288372093023256,0.232558139534884,0.0199335548172757,0.0930232558139535,0.0285714285714286,35.8,0.181395348837209,27257,0.26578073089701,0.217275747508306,0,0,0,0.0026578073089701,0.0916943521594684,0.322923588039867,0.0996677740863787,0.0106312292358804,0.0385382059800664,0.0757475083056478,"NYC",231,65,21,0,64,1
"36081119500",17928.5714285714,0.652589641434263,0.48605577689243,0.162549800796813,0.195219123505976,0.29003984063745,0.275697211155378,0.0764940239043825,0.0764940239043825,0.0749003984063745,46.7,0.175298804780877,35329,0.237450199203187,0.195219123505976,0,0,0.0262948207171315,0,0.0382470119521912,0.311553784860558,0.139442231075697,0.0756972111553785,0.0549800796812749,0.0342629482071713,"NYC",115,21,4,0,21,0
