"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081026500",60185.7142857143,427,3786,2050,836,1213,1390,674,100,308,122,35.5,1991,31150,417,1511,0,10,193,24,457,829,858,227,139,568,"NYC",379,96,18,1,95,1
"36081045700",50550,137,2896,1510,377,981,808,730,137,204,123,36.3,852,24634,423,1280,0,0,95,37,120,908,704,214,153,533,"NYC",129,36,16,0,36,0
"36081050000",33553.8461538462,174,4188,2064,940,987,1254,883,298,536,319,40.3,752,25683,722,1170,0,0,38,67,264,1593,327,170,257,819,"NYC",442,138,18,0,138,0
"36005022401",93566.6666666667,235,2572,1537,622,782,772,483,148,348,159,35,767,33260,255,872,0,0,59,39,162,794,335,123,237,656,"NYC",256,81,16,0,81,0
"36005032300",21095.2380952381,3133,1297,2150,737,587,1201,1338,567,501,402,47,243,70574,913,1120,0,0,61,60,69,1085,803,1048,174,338,"NYC",215,34,10,0,34,0
"36047025400",62100,1291,3056,2388,958,1098,1041,1012,238,192,242,36.5,1289,26959,647,1030,0,16,153,12,517,940,737,150,204,929,"NYC",235,77,19,0,77,0
"36047039100",52616.6666666667,536,2621,1679,645,1207,630,548,127,291,99,28.5,743,35168,196,1155,0,14,144,51,126,820,475,79,278,971,"NYC",369,98,14,0,98,0
"36047041200",52350,1709,1432,1646,764,851,786,577,163,197,148,33.9,392,28929,293,928,21,36,64,152,177,833,276,195,82,465,"NYC",210,60,20,0,60,0
"36081025500",18387.5,434,1037,736,279,482,336,295,79,40,88,34.3,341,36000,204,536,0,0,10,9,101,376,292,159,52,153,"NYC",518,156,27,0,156,0
"36085013302",9172.72727272727,192,2835,1520,648,1028,817,462,72,393,113,28,713,29958,559,313,0,30,139,4,145,893,228,42,106,851,"NYC",571,184,41,0,184,0
"36085001800",1460,366,218,252,200,165,191,25,3,10,0,30.7,18,40625,132,31,0,8,85,18,4,151,58,62,10,0,"NYC",531,188,1,1,186,2
"36005009600",9618.51851851852,175,2422,1347,603,641,595,462,296,231,85,36.7,359,31130,277,473,0,0,77,28,146,698,247,97,207,379,"NYC",541,156,21,0,155,1
"36047040100",53283.3333333333,442,2755,1754,615,1189,809,471,113,349,140,29.5,448,26235,165,1352,0,11,74,0,175,687,396,128,155,751,"NYC",398,146,24,0,146,0
"36047029900",46516.6666666667,69,2722,1420,779,711,713,329,259,327,132,31.7,327,26000,134,643,0,0,74,68,169,849,82,72,143,1135,"NYC",415,160,32,0,158,2
"36081121500",17983.3333333333,551,3765,2045,980,933,1125,1042,236,264,189,38,1041,35417,1152,739,8,17,18,0,263,987,621,314,130,725,"NYC",730,168,3,0,166,2
